Product Name,Parent SKU,EAN,Color,Size,Price EUR,Gender,Category,Composition,Description,Features,Weight,URL
Pile HighLoft da uomo con cappuccio,34P1707,8050243188807,ZAFFIRO-B. BLUE,50,99.99,Man,Outlet,MAIN FABRIC 100% POLYESTER; INSERT 95% POLYESTER 5% ELASTANE; TUMBLE DRY AT MAX 60° C; DO NOT BLEACH; DELICATE WASH AT MAX 30°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"A warm and comfortable garment, perfect for any occasion! HighLoft fleece is a fabric that can retain heat thanks to its unique high-pile structure, which also gives it a distinctively outdoor look. Featuring a front zipper, two side pockets, a chest pocket with a zipper, and hemmed cuffs and bottom for a better fit.",,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityUNLIMITECH",https://www.cmpsport.com/ww/men-s-highloft-hooded-fleece-34p1707
Pile HighLoft da uomo con cappuccio,34P1707,8050243188821,ZAFFIRO-B. BLUE,52,99.99,Man,Outlet,MAIN FABRIC 100% POLYESTER; INSERT 95% POLYESTER 5% ELASTANE; TUMBLE DRY AT MAX 60° C; DO NOT BLEACH; DELICATE WASH AT MAX 30°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"A warm and comfortable garment, perfect for any occasion! HighLoft fleece is a fabric that can retain heat thanks to its unique high-pile structure, which also gives it a distinctively outdoor look. Featuring a front zipper, two side pockets, a chest pocket with a zipper, and hemmed cuffs and bottom for a better fit.",,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityUNLIMITECH",https://www.cmpsport.com/ww/men-s-highloft-hooded-fleece-34p1707
Pile HighLoft da uomo con cappuccio,34P1707,8050243188845,ZAFFIRO-B. BLUE,54,99.99,Man,Outlet,MAIN FABRIC 100% POLYESTER; INSERT 95% POLYESTER 5% ELASTANE; TUMBLE DRY AT MAX 60° C; DO NOT BLEACH; DELICATE WASH AT MAX 30°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"A warm and comfortable garment, perfect for any occasion! HighLoft fleece is a fabric that can retain heat thanks to its unique high-pile structure, which also gives it a distinctively outdoor look. Featuring a front zipper, two side pockets, a chest pocket with a zipper, and hemmed cuffs and bottom for a better fit.",,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityUNLIMITECH",https://www.cmpsport.com/ww/men-s-highloft-hooded-fleece-34p1707
Pile HighLoft da uomo con cappuccio,34P1707,8050243188869,ZAFFIRO-B. BLUE,56,99.99,Man,Outlet,MAIN FABRIC 100% POLYESTER; INSERT 95% POLYESTER 5% ELASTANE; TUMBLE DRY AT MAX 60° C; DO NOT BLEACH; DELICATE WASH AT MAX 30°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"A warm and comfortable garment, perfect for any occasion! HighLoft fleece is a fabric that can retain heat thanks to its unique high-pile structure, which also gives it a distinctively outdoor look. Featuring a front zipper, two side pockets, a chest pocket with a zipper, and hemmed cuffs and bottom for a better fit.",,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityUNLIMITECH",https://www.cmpsport.com/ww/men-s-highloft-hooded-fleece-34p1707
Pile HighLoft da uomo con cappuccio,34P1707,8050243012676,ACIDO-TITANIO,46,99.99,Man,Outlet,MAIN FABRIC 100% POLYESTER; INSERT 95% POLYESTER 5% ELASTANE; TUMBLE DRY AT MAX 60° C; DO NOT BLEACH; DELICATE WASH AT MAX 30°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"A warm and comfortable garment, perfect for any occasion! HighLoft fleece is a fabric that can retain heat thanks to its unique high-pile structure, which also gives it a distinctively outdoor look. Featuring a front zipper, two side pockets, a chest pocket with a zipper, and hemmed cuffs and bottom for a better fit.",,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityUNLIMITECH",https://www.cmpsport.com/ww/men-s-highloft-hooded-fleece-34p1707
Pile HighLoft da uomo con cappuccio,34P1707,8050243012690,ACIDO-TITANIO,48,99.99,Man,Outlet,MAIN FABRIC 100% POLYESTER; INSERT 95% POLYESTER 5% ELASTANE; TUMBLE DRY AT MAX 60° C; DO NOT BLEACH; DELICATE WASH AT MAX 30°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"A warm and comfortable garment, perfect for any occasion! HighLoft fleece is a fabric that can retain heat thanks to its unique high-pile structure, which also gives it a distinctively outdoor look. Featuring a front zipper, two side pockets, a chest pocket with a zipper, and hemmed cuffs and bottom for a better fit.",,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityUNLIMITECH",https://www.cmpsport.com/ww/men-s-highloft-hooded-fleece-34p1707
Pile HighLoft da uomo con cappuccio,34P1707,8050243012713,ACIDO-TITANIO,50,99.99,Man,Outlet,MAIN FABRIC 100% POLYESTER; INSERT 95% POLYESTER 5% ELASTANE; TUMBLE DRY AT MAX 60° C; DO NOT BLEACH; DELICATE WASH AT MAX 30°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"A warm and comfortable garment, perfect for any occasion! HighLoft fleece is a fabric that can retain heat thanks to its unique high-pile structure, which also gives it a distinctively outdoor look. Featuring a front zipper, two side pockets, a chest pocket with a zipper, and hemmed cuffs and bottom for a better fit.",,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityUNLIMITECH",https://www.cmpsport.com/ww/men-s-highloft-hooded-fleece-34p1707
Pile HighLoft da uomo con cappuccio,34P1707,8050243012737,ACIDO-TITANIO,52,99.99,Man,Outlet,MAIN FABRIC 100% POLYESTER; INSERT 95% POLYESTER 5% ELASTANE; TUMBLE DRY AT MAX 60° C; DO NOT BLEACH; DELICATE WASH AT MAX 30°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"A warm and comfortable garment, perfect for any occasion! HighLoft fleece is a fabric that can retain heat thanks to its unique high-pile structure, which also gives it a distinctively outdoor look. Featuring a front zipper, two side pockets, a chest pocket with a zipper, and hemmed cuffs and bottom for a better fit.",,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityUNLIMITECH",https://www.cmpsport.com/ww/men-s-highloft-hooded-fleece-34p1707
Pile HighLoft da uomo con cappuccio,34P1707,8050243012751,ACIDO-TITANIO,54,99.99,Man,Outlet,MAIN FABRIC 100% POLYESTER; INSERT 95% POLYESTER 5% ELASTANE; TUMBLE DRY AT MAX 60° C; DO NOT BLEACH; DELICATE WASH AT MAX 30°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"A warm and comfortable garment, perfect for any occasion! HighLoft fleece is a fabric that can retain heat thanks to its unique high-pile structure, which also gives it a distinctively outdoor look. Featuring a front zipper, two side pockets, a chest pocket with a zipper, and hemmed cuffs and bottom for a better fit.",,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityUNLIMITECH",https://www.cmpsport.com/ww/men-s-highloft-hooded-fleece-34p1707
Pile HighLoft da uomo con cappuccio,34P1707,8050243012775,ACIDO-TITANIO,56,99.99,Man,Outlet,MAIN FABRIC 100% POLYESTER; INSERT 95% POLYESTER 5% ELASTANE; TUMBLE DRY AT MAX 60° C; DO NOT BLEACH; DELICATE WASH AT MAX 30°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"A warm and comfortable garment, perfect for any occasion! HighLoft fleece is a fabric that can retain heat thanks to its unique high-pile structure, which also gives it a distinctively outdoor look. Featuring a front zipper, two side pockets, a chest pocket with a zipper, and hemmed cuffs and bottom for a better fit.",,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityUNLIMITECH",https://www.cmpsport.com/ww/men-s-highloft-hooded-fleece-34p1707
Pile HighLoft da uomo con cappuccio,34P1707,8050243012799,ACIDO-TITANIO,58,99.99,Man,Outlet,MAIN FABRIC 100% POLYESTER; INSERT 95% POLYESTER 5% ELASTANE; TUMBLE DRY AT MAX 60° C; DO NOT BLEACH; DELICATE WASH AT MAX 30°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"A warm and comfortable garment, perfect for any occasion! HighLoft fleece is a fabric that can retain heat thanks to its unique high-pile structure, which also gives it a distinctively outdoor look. Featuring a front zipper, two side pockets, a chest pocket with a zipper, and hemmed cuffs and bottom for a better fit.",,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityUNLIMITECH",https://www.cmpsport.com/ww/men-s-highloft-hooded-fleece-34p1707
Pile HighLoft da uomo con cappuccio,34P1707,8050243012683,SAGE-OLIVE,46,99.99,Man,Outlet,MAIN FABRIC 100% POLYESTER; INSERT 95% POLYESTER 5% ELASTANE; TUMBLE DRY AT MAX 60° C; DO NOT BLEACH; DELICATE WASH AT MAX 30°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"A warm and comfortable garment, perfect for any occasion! HighLoft fleece is a fabric that can retain heat thanks to its unique high-pile structure, which also gives it a distinctively outdoor look. Featuring a front zipper, two side pockets, a chest pocket with a zipper, and hemmed cuffs and bottom for a better fit.",,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityUNLIMITECH",https://www.cmpsport.com/ww/men-s-highloft-hooded-fleece-34p1707
Pile HighLoft da uomo con cappuccio,34P1707,8050243012706,SAGE-OLIVE,48,99.99,Man,Outlet,MAIN FABRIC 100% POLYESTER; INSERT 95% POLYESTER 5% ELASTANE; TUMBLE DRY AT MAX 60° C; DO NOT BLEACH; DELICATE WASH AT MAX 30°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"A warm and comfortable garment, perfect for any occasion! HighLoft fleece is a fabric that can retain heat thanks to its unique high-pile structure, which also gives it a distinctively outdoor look. Featuring a front zipper, two side pockets, a chest pocket with a zipper, and hemmed cuffs and bottom for a better fit.",,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityUNLIMITECH",https://www.cmpsport.com/ww/men-s-highloft-hooded-fleece-34p1707
Pile HighLoft da uomo con cappuccio,34P1707,8050243012720,SAGE-OLIVE,50,99.99,Man,Outlet,MAIN FABRIC 100% POLYESTER; INSERT 95% POLYESTER 5% ELASTANE; TUMBLE DRY AT MAX 60° C; DO NOT BLEACH; DELICATE WASH AT MAX 30°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"A warm and comfortable garment, perfect for any occasion! HighLoft fleece is a fabric that can retain heat thanks to its unique high-pile structure, which also gives it a distinctively outdoor look. Featuring a front zipper, two side pockets, a chest pocket with a zipper, and hemmed cuffs and bottom for a better fit.",,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityUNLIMITECH",https://www.cmpsport.com/ww/men-s-highloft-hooded-fleece-34p1707
Pile HighLoft da uomo con cappuccio,34P1707,8050243012744,SAGE-OLIVE,52,99.99,Man,Outlet,MAIN FABRIC 100% POLYESTER; INSERT 95% POLYESTER 5% ELASTANE; TUMBLE DRY AT MAX 60° C; DO NOT BLEACH; DELICATE WASH AT MAX 30°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"A warm and comfortable garment, perfect for any occasion! HighLoft fleece is a fabric that can retain heat thanks to its unique high-pile structure, which also gives it a distinctively outdoor look. Featuring a front zipper, two side pockets, a chest pocket with a zipper, and hemmed cuffs and bottom for a better fit.",,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityUNLIMITECH",https://www.cmpsport.com/ww/men-s-highloft-hooded-fleece-34p1707
Pile HighLoft da uomo con cappuccio,34P1707,8050243012768,SAGE-OLIVE,54,99.99,Man,Outlet,MAIN FABRIC 100% POLYESTER; INSERT 95% POLYESTER 5% ELASTANE; TUMBLE DRY AT MAX 60° C; DO NOT BLEACH; DELICATE WASH AT MAX 30°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"A warm and comfortable garment, perfect for any occasion! HighLoft fleece is a fabric that can retain heat thanks to its unique high-pile structure, which also gives it a distinctively outdoor look. Featuring a front zipper, two side pockets, a chest pocket with a zipper, and hemmed cuffs and bottom for a better fit.",,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityUNLIMITECH",https://www.cmpsport.com/ww/men-s-highloft-hooded-fleece-34p1707
Pile HighLoft da uomo con cappuccio,34P1707,8050243012782,SAGE-OLIVE,56,99.99,Man,Outlet,MAIN FABRIC 100% POLYESTER; INSERT 95% POLYESTER 5% ELASTANE; TUMBLE DRY AT MAX 60° C; DO NOT BLEACH; DELICATE WASH AT MAX 30°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"A warm and comfortable garment, perfect for any occasion! HighLoft fleece is a fabric that can retain heat thanks to its unique high-pile structure, which also gives it a distinctively outdoor look. Featuring a front zipper, two side pockets, a chest pocket with a zipper, and hemmed cuffs and bottom for a better fit.",,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityUNLIMITECH",https://www.cmpsport.com/ww/men-s-highloft-hooded-fleece-34p1707
Pile HighLoft da uomo con cappuccio,34P1707,8050243012805,SAGE-OLIVE,58,99.99,Man,Outlet,MAIN FABRIC 100% POLYESTER; INSERT 95% POLYESTER 5% ELASTANE; TUMBLE DRY AT MAX 60° C; DO NOT BLEACH; DELICATE WASH AT MAX 30°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"A warm and comfortable garment, perfect for any occasion! HighLoft fleece is a fabric that can retain heat thanks to its unique high-pile structure, which also gives it a distinctively outdoor look. Featuring a front zipper, two side pockets, a chest pocket with a zipper, and hemmed cuffs and bottom for a better fit.",,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityUNLIMITECH",https://www.cmpsport.com/ww/men-s-highloft-hooded-fleece-34p1707
