Product Name,Parent SKU,EAN,Color,Size,Price EUR,Gender,Category,Composition,Description,Features,Weight,URL
T-shirt ciclismo da uomo,36N5327,8055950871332,PETROLEUM-B. BLUE,46,99.99,Man,T-shirts and polo shirts,87% POLYESTER 13% ELASTANE; HANG TO DRY; DO NOT TUMBLE DRY; DO NOT BLEACH; DELICATE WASH AT MAX 40°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"Technical cycling T-shirt in 4-way stretch fabric with Dry Function technology, designed to provide maximum comfort, freedom of movement, and optimal moisture control during bike rides. The four-way stretch material follows the movements of the body without constriction, while the Dry Function technology ensures quick drying, keeping the skin comfortable even during the most intense workouts.
The melange design with print adds a touch of modern and dynamic style, perfect for those who love to combine performance with a sporty look. A versatile and functional T-shirt, ideal for long rides, workouts and outdoor adventures, capable of providing comfort and breathability in all conditions.",4-way stretch; Dry Function,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityBIKE",https://www.cmpsport.com/ww/men-s-cycling-t-shirt-36n5327
T-shirt ciclismo da uomo,36N5327,8055950871349,PETROLEUM-B. BLUE,48,99.99,Man,T-shirts and polo shirts,87% POLYESTER 13% ELASTANE; HANG TO DRY; DO NOT TUMBLE DRY; DO NOT BLEACH; DELICATE WASH AT MAX 40°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"Technical cycling T-shirt in 4-way stretch fabric with Dry Function technology, designed to provide maximum comfort, freedom of movement, and optimal moisture control during bike rides. The four-way stretch material follows the movements of the body without constriction, while the Dry Function technology ensures quick drying, keeping the skin comfortable even during the most intense workouts.
The melange design with print adds a touch of modern and dynamic style, perfect for those who love to combine performance with a sporty look. A versatile and functional T-shirt, ideal for long rides, workouts and outdoor adventures, capable of providing comfort and breathability in all conditions.",4-way stretch; Dry Function,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityBIKE",https://www.cmpsport.com/ww/men-s-cycling-t-shirt-36n5327
T-shirt ciclismo da uomo,36N5327,8055950871356,PETROLEUM-B. BLUE,50,99.99,Man,T-shirts and polo shirts,87% POLYESTER 13% ELASTANE; HANG TO DRY; DO NOT TUMBLE DRY; DO NOT BLEACH; DELICATE WASH AT MAX 40°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"Technical cycling T-shirt in 4-way stretch fabric with Dry Function technology, designed to provide maximum comfort, freedom of movement, and optimal moisture control during bike rides. The four-way stretch material follows the movements of the body without constriction, while the Dry Function technology ensures quick drying, keeping the skin comfortable even during the most intense workouts.
The melange design with print adds a touch of modern and dynamic style, perfect for those who love to combine performance with a sporty look. A versatile and functional T-shirt, ideal for long rides, workouts and outdoor adventures, capable of providing comfort and breathability in all conditions.",4-way stretch; Dry Function,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityBIKE",https://www.cmpsport.com/ww/men-s-cycling-t-shirt-36n5327
T-shirt ciclismo da uomo,36N5327,8055950871363,PETROLEUM-B. BLUE,52,99.99,Man,T-shirts and polo shirts,87% POLYESTER 13% ELASTANE; HANG TO DRY; DO NOT TUMBLE DRY; DO NOT BLEACH; DELICATE WASH AT MAX 40°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"Technical cycling T-shirt in 4-way stretch fabric with Dry Function technology, designed to provide maximum comfort, freedom of movement, and optimal moisture control during bike rides. The four-way stretch material follows the movements of the body without constriction, while the Dry Function technology ensures quick drying, keeping the skin comfortable even during the most intense workouts.
The melange design with print adds a touch of modern and dynamic style, perfect for those who love to combine performance with a sporty look. A versatile and functional T-shirt, ideal for long rides, workouts and outdoor adventures, capable of providing comfort and breathability in all conditions.",4-way stretch; Dry Function,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityBIKE",https://www.cmpsport.com/ww/men-s-cycling-t-shirt-36n5327
T-shirt ciclismo da uomo,36N5327,8055950871370,PETROLEUM-B. BLUE,54,99.99,Man,T-shirts and polo shirts,87% POLYESTER 13% ELASTANE; HANG TO DRY; DO NOT TUMBLE DRY; DO NOT BLEACH; DELICATE WASH AT MAX 40°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"Technical cycling T-shirt in 4-way stretch fabric with Dry Function technology, designed to provide maximum comfort, freedom of movement, and optimal moisture control during bike rides. The four-way stretch material follows the movements of the body without constriction, while the Dry Function technology ensures quick drying, keeping the skin comfortable even during the most intense workouts.
The melange design with print adds a touch of modern and dynamic style, perfect for those who love to combine performance with a sporty look. A versatile and functional T-shirt, ideal for long rides, workouts and outdoor adventures, capable of providing comfort and breathability in all conditions.",4-way stretch; Dry Function,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityBIKE",https://www.cmpsport.com/ww/men-s-cycling-t-shirt-36n5327
T-shirt ciclismo da uomo,36N5327,8055950871387,PETROLEUM-B. BLUE,56,99.99,Man,T-shirts and polo shirts,87% POLYESTER 13% ELASTANE; HANG TO DRY; DO NOT TUMBLE DRY; DO NOT BLEACH; DELICATE WASH AT MAX 40°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"Technical cycling T-shirt in 4-way stretch fabric with Dry Function technology, designed to provide maximum comfort, freedom of movement, and optimal moisture control during bike rides. The four-way stretch material follows the movements of the body without constriction, while the Dry Function technology ensures quick drying, keeping the skin comfortable even during the most intense workouts.
The melange design with print adds a touch of modern and dynamic style, perfect for those who love to combine performance with a sporty look. A versatile and functional T-shirt, ideal for long rides, workouts and outdoor adventures, capable of providing comfort and breathability in all conditions.",4-way stretch; Dry Function,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityBIKE",https://www.cmpsport.com/ww/men-s-cycling-t-shirt-36n5327
T-shirt ciclismo da uomo,36N5327,8055950871394,PETROLEUM-B. BLUE,58,99.99,Man,T-shirts and polo shirts,87% POLYESTER 13% ELASTANE; HANG TO DRY; DO NOT TUMBLE DRY; DO NOT BLEACH; DELICATE WASH AT MAX 40°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"Technical cycling T-shirt in 4-way stretch fabric with Dry Function technology, designed to provide maximum comfort, freedom of movement, and optimal moisture control during bike rides. The four-way stretch material follows the movements of the body without constriction, while the Dry Function technology ensures quick drying, keeping the skin comfortable even during the most intense workouts.
The melange design with print adds a touch of modern and dynamic style, perfect for those who love to combine performance with a sporty look. A versatile and functional T-shirt, ideal for long rides, workouts and outdoor adventures, capable of providing comfort and breathability in all conditions.",4-way stretch; Dry Function,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityBIKE",https://www.cmpsport.com/ww/men-s-cycling-t-shirt-36n5327
T-shirt ciclismo da uomo,36N5327,8055950125398,ANTRACITE-ORANGE,46,99.99,Man,T-shirts and polo shirts,87% POLYESTER 13% ELASTANE; HANG TO DRY; DO NOT TUMBLE DRY; DO NOT BLEACH; DELICATE WASH AT MAX 40°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"Technical cycling T-shirt in 4-way stretch fabric with Dry Function technology, designed to provide maximum comfort, freedom of movement, and optimal moisture control during bike rides. The four-way stretch material follows the movements of the body without constriction, while the Dry Function technology ensures quick drying, keeping the skin comfortable even during the most intense workouts.
The melange design with print adds a touch of modern and dynamic style, perfect for those who love to combine performance with a sporty look. A versatile and functional T-shirt, ideal for long rides, workouts and outdoor adventures, capable of providing comfort and breathability in all conditions.",4-way stretch; Dry Function,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityBIKE",https://www.cmpsport.com/ww/men-s-cycling-t-shirt-36n5327
T-shirt ciclismo da uomo,36N5327,8055950125428,ANTRACITE-ORANGE,48,99.99,Man,T-shirts and polo shirts,87% POLYESTER 13% ELASTANE; HANG TO DRY; DO NOT TUMBLE DRY; DO NOT BLEACH; DELICATE WASH AT MAX 40°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"Technical cycling T-shirt in 4-way stretch fabric with Dry Function technology, designed to provide maximum comfort, freedom of movement, and optimal moisture control during bike rides. The four-way stretch material follows the movements of the body without constriction, while the Dry Function technology ensures quick drying, keeping the skin comfortable even during the most intense workouts.
The melange design with print adds a touch of modern and dynamic style, perfect for those who love to combine performance with a sporty look. A versatile and functional T-shirt, ideal for long rides, workouts and outdoor adventures, capable of providing comfort and breathability in all conditions.",4-way stretch; Dry Function,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityBIKE",https://www.cmpsport.com/ww/men-s-cycling-t-shirt-36n5327
T-shirt ciclismo da uomo,36N5327,8055950125459,ANTRACITE-ORANGE,50,99.99,Man,T-shirts and polo shirts,87% POLYESTER 13% ELASTANE; HANG TO DRY; DO NOT TUMBLE DRY; DO NOT BLEACH; DELICATE WASH AT MAX 40°C; DO NOT DRY CLEAN; PROFESSIONAL WET CLEANING MILD PROCESS; DO NOT IRON,"Technical cycling T-shirt in 4-way stretch fabric with Dry Function technology, designed to provide maximum comfort, freedom of movement, and optimal moisture control during bike rides. The four-way stretch material follows the movements of the body without constriction, while the Dry Function technology ensures quick drying, keeping the skin comfortable even during the most intense workouts.
The melange design with print adds a touch of modern and dynamic style, perfect for those who love to combine performance with a sporty look. A versatile and functional T-shirt, ideal for long rides, workouts and outdoor adventures, capable of providing comfort and breathability in all conditions.",4-way stretch; Dry Function,"Write a review       Free shipping and returns over 160 €Order online and collect in store at no chargeSecure payments with Paypal, cards and bank transfer   ActivityBIKE",https://www.cmpsport.com/ww/men-s-cycling-t-shirt-36n5327
