Product Name,Parent SKU,EAN,Color,Size,Price EUR,Gender,Category,Composition,Description,Features,Weight,URL
Scarpa Laky fast hiking da uomo,3Q36877,8050243261937,NERO-BITTER,11,99.99,Man,Hiking,UPPER 50% POLYESTER 50% OTHER MATERIALS; INSIDE 100% POLYESTER; SOLE 80% EVA (ETHYLENE VINYL ACETATE) 20% ELASTODIENE,LAKY WP is a model suitable for fast hiking on mixed and muddy terrain. The dynamic mesh-based upper with PU coating makes it an excellent fit. The Climaprotect membrane guarantees waterproofing. The removable Ortholite X35 insole offers 35% to 25% energy return and accentuates comfort. A thermoplastic insert has been placed between the midsole and insole to provide greater protection against unevenness on the ground without compromising flexibility. Grip is guaranteed by the rubber sole with CMP FullOnGrip compound.,EVA insole for maximum cushioning; Lugs microindentation for a better grip on all types of terrain; Ortholite insole X-35™ for a better elasticity and energy return while walking; CMP FullOn Grip rubber sole; Upper in polyester mesh and PU; Vegan Friendly; Clima Protect®; Ortholite X-35; Water Repellent; CMP FullOn GRIP,380 gr,https://www.cmpsport.com/ww/men-s-laky-fast-hiking-shoes-3q36877
Scarpa Laky fast hiking da uomo,3Q36877,8050243078177,NERO-CEMENTO,"5,5",99.99,Man,Hiking,UPPER 50% POLYESTER 50% OTHER MATERIALS; INSIDE 100% POLYESTER; SOLE 80% EVA (ETHYLENE VINYL ACETATE) 20% ELASTODIENE,LAKY WP is a model suitable for fast hiking on mixed and muddy terrain. The dynamic mesh-based upper with PU coating makes it an excellent fit. The Climaprotect membrane guarantees waterproofing. The removable Ortholite X35 insole offers 35% to 25% energy return and accentuates comfort. A thermoplastic insert has been placed between the midsole and insole to provide greater protection against unevenness on the ground without compromising flexibility. Grip is guaranteed by the rubber sole with CMP FullOnGrip compound.,EVA insole for maximum cushioning; Lugs microindentation for a better grip on all types of terrain; Ortholite insole X-35™ for a better elasticity and energy return while walking; CMP FullOn Grip rubber sole; Upper in polyester mesh and PU; Vegan Friendly; Clima Protect®; Ortholite X-35; Water Repellent; CMP FullOn GRIP,380 gr,https://www.cmpsport.com/ww/men-s-laky-fast-hiking-shoes-3q36877
Scarpa Laky fast hiking da uomo,3Q36877,8050243078191,NERO-CEMENTO,"6,5",99.99,Man,Hiking,UPPER 50% POLYESTER 50% OTHER MATERIALS; INSIDE 100% POLYESTER; SOLE 80% EVA (ETHYLENE VINYL ACETATE) 20% ELASTODIENE,LAKY WP is a model suitable for fast hiking on mixed and muddy terrain. The dynamic mesh-based upper with PU coating makes it an excellent fit. The Climaprotect membrane guarantees waterproofing. The removable Ortholite X35 insole offers 35% to 25% energy return and accentuates comfort. A thermoplastic insert has been placed between the midsole and insole to provide greater protection against unevenness on the ground without compromising flexibility. Grip is guaranteed by the rubber sole with CMP FullOnGrip compound.,EVA insole for maximum cushioning; Lugs microindentation for a better grip on all types of terrain; Ortholite insole X-35™ for a better elasticity and energy return while walking; CMP FullOn Grip rubber sole; Upper in polyester mesh and PU; Vegan Friendly; Clima Protect®; Ortholite X-35; Water Repellent; CMP FullOn GRIP,380 gr,https://www.cmpsport.com/ww/men-s-laky-fast-hiking-shoes-3q36877
Scarpa Laky fast hiking da uomo,3Q36877,8050243078214,NERO-CEMENTO,7,99.99,Man,Hiking,UPPER 50% POLYESTER 50% OTHER MATERIALS; INSIDE 100% POLYESTER; SOLE 80% EVA (ETHYLENE VINYL ACETATE) 20% ELASTODIENE,LAKY WP is a model suitable for fast hiking on mixed and muddy terrain. The dynamic mesh-based upper with PU coating makes it an excellent fit. The Climaprotect membrane guarantees waterproofing. The removable Ortholite X35 insole offers 35% to 25% energy return and accentuates comfort. A thermoplastic insert has been placed between the midsole and insole to provide greater protection against unevenness on the ground without compromising flexibility. Grip is guaranteed by the rubber sole with CMP FullOnGrip compound.,EVA insole for maximum cushioning; Lugs microindentation for a better grip on all types of terrain; Ortholite insole X-35™ for a better elasticity and energy return while walking; CMP FullOn Grip rubber sole; Upper in polyester mesh and PU; Vegan Friendly; Clima Protect®; Ortholite X-35; Water Repellent; CMP FullOn GRIP,380 gr,https://www.cmpsport.com/ww/men-s-laky-fast-hiking-shoes-3q36877
Scarpa Laky fast hiking da uomo,3Q36877,8050243078313,NERO-CEMENTO,11,99.99,Man,Hiking,UPPER 50% POLYESTER 50% OTHER MATERIALS; INSIDE 100% POLYESTER; SOLE 80% EVA (ETHYLENE VINYL ACETATE) 20% ELASTODIENE,LAKY WP is a model suitable for fast hiking on mixed and muddy terrain. The dynamic mesh-based upper with PU coating makes it an excellent fit. The Climaprotect membrane guarantees waterproofing. The removable Ortholite X35 insole offers 35% to 25% energy return and accentuates comfort. A thermoplastic insert has been placed between the midsole and insole to provide greater protection against unevenness on the ground without compromising flexibility. Grip is guaranteed by the rubber sole with CMP FullOnGrip compound.,EVA insole for maximum cushioning; Lugs microindentation for a better grip on all types of terrain; Ortholite insole X-35™ for a better elasticity and energy return while walking; CMP FullOn Grip rubber sole; Upper in polyester mesh and PU; Vegan Friendly; Clima Protect®; Ortholite X-35; Water Repellent; CMP FullOn GRIP,380 gr,https://www.cmpsport.com/ww/men-s-laky-fast-hiking-shoes-3q36877
Scarpa Laky fast hiking da uomo,3Q36877,8050243416504,ARENA-ACIDO,"5,5",99.99,Man,Hiking,UPPER 50% POLYESTER 50% OTHER MATERIALS; INSIDE 100% POLYESTER; SOLE 80% EVA (ETHYLENE VINYL ACETATE) 20% ELASTODIENE,LAKY WP is a model suitable for fast hiking on mixed and muddy terrain. The dynamic mesh-based upper with PU coating makes it an excellent fit. The Climaprotect membrane guarantees waterproofing. The removable Ortholite X35 insole offers 35% to 25% energy return and accentuates comfort. A thermoplastic insert has been placed between the midsole and insole to provide greater protection against unevenness on the ground without compromising flexibility. Grip is guaranteed by the rubber sole with CMP FullOnGrip compound.,EVA insole for maximum cushioning; Lugs microindentation for a better grip on all types of terrain; Ortholite insole X-35™ for a better elasticity and energy return while walking; CMP FullOn Grip rubber sole; Upper in polyester mesh and PU; Vegan Friendly; Clima Protect®; Ortholite X-35; Water Repellent; CMP FullOn GRIP,380 gr,https://www.cmpsport.com/ww/men-s-laky-fast-hiking-shoes-3q36877
Scarpa Laky fast hiking da uomo,3Q36877,8050243416511,ARENA-ACIDO,"6,5",99.99,Man,Hiking,UPPER 50% POLYESTER 50% OTHER MATERIALS; INSIDE 100% POLYESTER; SOLE 80% EVA (ETHYLENE VINYL ACETATE) 20% ELASTODIENE,LAKY WP is a model suitable for fast hiking on mixed and muddy terrain. The dynamic mesh-based upper with PU coating makes it an excellent fit. The Climaprotect membrane guarantees waterproofing. The removable Ortholite X35 insole offers 35% to 25% energy return and accentuates comfort. A thermoplastic insert has been placed between the midsole and insole to provide greater protection against unevenness on the ground without compromising flexibility. Grip is guaranteed by the rubber sole with CMP FullOnGrip compound.,EVA insole for maximum cushioning; Lugs microindentation for a better grip on all types of terrain; Ortholite insole X-35™ for a better elasticity and energy return while walking; CMP FullOn Grip rubber sole; Upper in polyester mesh and PU; Vegan Friendly; Clima Protect®; Ortholite X-35; Water Repellent; CMP FullOn GRIP,380 gr,https://www.cmpsport.com/ww/men-s-laky-fast-hiking-shoes-3q36877
Scarpa Laky fast hiking da uomo,3Q36877,8050243416528,ARENA-ACIDO,7,99.99,Man,Hiking,UPPER 50% POLYESTER 50% OTHER MATERIALS; INSIDE 100% POLYESTER; SOLE 80% EVA (ETHYLENE VINYL ACETATE) 20% ELASTODIENE,LAKY WP is a model suitable for fast hiking on mixed and muddy terrain. The dynamic mesh-based upper with PU coating makes it an excellent fit. The Climaprotect membrane guarantees waterproofing. The removable Ortholite X35 insole offers 35% to 25% energy return and accentuates comfort. A thermoplastic insert has been placed between the midsole and insole to provide greater protection against unevenness on the ground without compromising flexibility. Grip is guaranteed by the rubber sole with CMP FullOnGrip compound.,EVA insole for maximum cushioning; Lugs microindentation for a better grip on all types of terrain; Ortholite insole X-35™ for a better elasticity and energy return while walking; CMP FullOn Grip rubber sole; Upper in polyester mesh and PU; Vegan Friendly; Clima Protect®; Ortholite X-35; Water Repellent; CMP FullOn GRIP,380 gr,https://www.cmpsport.com/ww/men-s-laky-fast-hiking-shoes-3q36877
Scarpa Laky fast hiking da uomo,3Q36877,8050243416535,ARENA-ACIDO,8,99.99,Man,Hiking,UPPER 50% POLYESTER 50% OTHER MATERIALS; INSIDE 100% POLYESTER; SOLE 80% EVA (ETHYLENE VINYL ACETATE) 20% ELASTODIENE,LAKY WP is a model suitable for fast hiking on mixed and muddy terrain. The dynamic mesh-based upper with PU coating makes it an excellent fit. The Climaprotect membrane guarantees waterproofing. The removable Ortholite X35 insole offers 35% to 25% energy return and accentuates comfort. A thermoplastic insert has been placed between the midsole and insole to provide greater protection against unevenness on the ground without compromising flexibility. Grip is guaranteed by the rubber sole with CMP FullOnGrip compound.,EVA insole for maximum cushioning; Lugs microindentation for a better grip on all types of terrain; Ortholite insole X-35™ for a better elasticity and energy return while walking; CMP FullOn Grip rubber sole; Upper in polyester mesh and PU; Vegan Friendly; Clima Protect®; Ortholite X-35; Water Repellent; CMP FullOn GRIP,380 gr,https://www.cmpsport.com/ww/men-s-laky-fast-hiking-shoes-3q36877
Scarpa Laky fast hiking da uomo,3Q36877,8050243416542,ARENA-ACIDO,9,99.99,Man,Hiking,UPPER 50% POLYESTER 50% OTHER MATERIALS; INSIDE 100% POLYESTER; SOLE 80% EVA (ETHYLENE VINYL ACETATE) 20% ELASTODIENE,LAKY WP is a model suitable for fast hiking on mixed and muddy terrain. The dynamic mesh-based upper with PU coating makes it an excellent fit. The Climaprotect membrane guarantees waterproofing. The removable Ortholite X35 insole offers 35% to 25% energy return and accentuates comfort. A thermoplastic insert has been placed between the midsole and insole to provide greater protection against unevenness on the ground without compromising flexibility. Grip is guaranteed by the rubber sole with CMP FullOnGrip compound.,EVA insole for maximum cushioning; Lugs microindentation for a better grip on all types of terrain; Ortholite insole X-35™ for a better elasticity and energy return while walking; CMP FullOn Grip rubber sole; Upper in polyester mesh and PU; Vegan Friendly; Clima Protect®; Ortholite X-35; Water Repellent; CMP FullOn GRIP,380 gr,https://www.cmpsport.com/ww/men-s-laky-fast-hiking-shoes-3q36877
